Variant,Variant_Name,Fold,Best_Epoch,Composite_Score,Total_Epochs,First_Valid_Epoch,Total_Valid_Epochs,Best_Epoch_Val_Loss,Best_Epoch_Dice_Ventricles,Best_Epoch_Dice_Abnormal_WMH,Best_Epoch_Dice_Mean,Best_Abnormal_Epoch,Best_Abnormal_Dice,Best_Ventricles_Epoch,Best_Ventricles_Dice
1,unet,0,49,0.837773437480731,60,1,60,0.24741753935813904,0.9308493801953847,0.8054339622632157,0.9115566193830764,43,0.8058087693216404,49,0.9308493801953847
1,unet,1,45,0.8509202240606865,60,1,60,0.3080134391784668,0.9268369262837436,0.8394508168223501,0.9215010850395001,28,0.8441074580031014,38,0.9274915960857308
1,unet,2,36,0.8128944361644407,60,1,60,0.27736401557922363,0.9342240045327603,0.7672727272708917,0.9000714500704411,32,0.7696575927137208,34,0.9378331718769447
1,unet,3,41,0.8148548201069025,60,1,60,0.3056482672691345,0.9412208603997376,0.7717556478564912,0.9037425888471717,41,0.7717556478564912,44,0.9415513142951589
2,attnunet,0,38,0.8465806985395226,60,1,60,0.2354777455329895,0.9361820594989245,0.8154564254052402,0.9167136699540254,38,0.8154564254052402,49,0.9369088654755128
2,attnunet,1,42,0.8468065449382642,60,1,60,0.3282952904701233,0.9189075870475,0.8399396631183776,0.9189869898404228,42,0.8399396631183776,42,0.9189075870475
2,attnunet,2,35,0.8082210232243792,60,1,60,0.2833690643310547,0.9301114433264854,0.7625408277658984,0.8971071685730373,35,0.7625408277658984,38,0.932546742487403
2,attnunet,3,35,0.7675559444491301,60,1,60,0.3719373941421509,0.8997412800024551,0.7247121664376812,0.8740189336882455,35,0.7247121664376812,51,0.9082138618936411
3,dlv3unet,0,41,0.7945477803722963,60,1,60,0.3116353750228882,0.8988588122221663,0.7600894570132255,0.8856122734890453,41,0.7600894570132255,54,0.9004052827384709
3,dlv3unet,1,42,0.8150221762616997,60,1,60,0.3728603720664978,0.9037163637265287,0.8019888405839849,0.9011564065443626,42,0.8019888405839849,40,0.9049275398385249
3,dlv3unet,2,28,0.7727672322932403,60,1,60,0.34316256642341614,0.9029322657428571,0.7270063486878747,0.8760687237787342,34,0.7281193622294404,40,0.9059795923856953
3,dlv3unet,3,28,0.768303148626621,60,1,60,0.3877088725566864,0.9124585568837787,0.7222274480285933,0.8774333183819368,28,0.7222274480285933,37,0.916682545438336
4,transunet,0,39,0.8410510311241638,60,1,60,0.24608999490737915,0.9346885813142664,0.808755760367703,0.9139696605000669,35,0.8090334741168289,45,0.9357508099451346
4,transunet,1,48,0.8483119522767122,60,1,60,0.3149019777774811,0.9253444084272909,0.8369980458771218,0.9201816141429934,29,0.8392693984451316,50,0.9254004460337096
4,transunet,2,35,0.8109694312756469,60,1,60,0.27634185552597046,0.9331867846270409,0.7644126357335528,0.89876925662194,35,0.7644126357335528,55,0.9336813537844856
4,transunet,3,28,0.7773769906034641,60,1,60,0.34197694063186646,0.9332184349847285,0.7193485902853871,0.883513943096132,28,0.7193485902853871,50,0.9413152166406702
