Group,Age Group,Gender,N,Mean,SD,Min,Max,Median,IQR_25,IQR_75
HC,18-29,Male,109,420.73,173.82,82.00,957.00,404.00,317.09,490.91
HC,18-29,Female,205,403.51,160.25,86.00,873.00,389.00,308.88,469.12
HC,30-39,Male,107,502.73,208.70,160.00,1171.00,455.00,350.65,559.35
HC,30-39,Female,264,484.06,226.21,52.00,1991.00,455.50,342.39,568.61
HC,40-49,Male,77,537.39,217.36,161.00,1451.00,518.00,409.32,626.68
HC,40-49,Female,144,501.67,190.99,89.00,1033.00,497.00,401.50,592.50
HC,50-59,Male,24,697.29,279.64,138.00,1168.00,684.00,544.18,823.82
HC,50-59,Female,48,532.48,176.50,163.00,1034.00,522.50,434.25,610.75
HC,60+,Male,5,695.40,570.25,239.00,1641.00,645.00,359.88,930.12
HC,60+,Female,6,589.83,182.07,339.00,802.00,602.00,510.97,693.03
MS,18-29,Male,29,488.00,213.57,243.00,1361.00,441.00,334.22,547.78
MS,18-29,Female,61,340.59,143.02,79.00,880.00,324.00,252.49,395.51
MS,30-39,Male,37,461.35,164.46,188.00,909.00,427.00,344.77,509.23
MS,30-39,Female,100,430.80,232.21,30.00,1955.00,374.50,258.39,490.61
MS,40-49,Male,29,545.21,266.26,184.00,1334.00,515.00,381.87,648.13
MS,40-49,Female,74,492.64,405.82,175.00,3497.00,411.50,208.59,614.41
MS,50-59,Male,12,726.25,242.73,169.00,980.00,796.00,674.63,917.37
MS,50-59,Female,33,549.94,265.76,225.00,1482.00,473.00,340.12,605.88
MS,60+,Male,1,532.00,N/A,532.00,532.00,532.00,nan,nan
MS,60+,Female,4,579.00,222.98,406.00,876.00,517.00,405.51,628.49
