Subgroup,Age Group,Lesion Type,N,Mean,SD,Median,Q25,Q75,Min,Max
All MS Patients,18-29,PEWMH,90,44.97,31.55,47.63,18.57,73.53,0.00,100.00
All MS Patients,18-29,PAWMH,90,22.18,26.33,13.19,0.00,38.11,0.00,100.00
All MS Patients,18-29,JCWMH,90,21.74,25.17,15.92,0.11,29.01,0.00,100.00
All MS Patients,30-39,PEWMH,137,51.49,28.02,51.59,32.18,73.97,0.00,100.00
All MS Patients,30-39,PAWMH,137,23.85,22.00,20.25,5.44,37.31,0.00,100.00
All MS Patients,30-39,JCWMH,137,20.28,20.48,14.89,6.80,26.32,0.00,100.00
All MS Patients,40-49,PEWMH,103,54.81,27.24,57.86,38.08,75.51,0.00,100.00
All MS Patients,40-49,PAWMH,103,22.58,20.65,18.82,8.03,31.14,0.00,100.00
All MS Patients,40-49,JCWMH,103,20.67,20.24,13.56,5.44,31.55,0.00,100.00
All MS Patients,50-59,PEWMH,45,67.39,22.51,69.93,62.30,81.15,0.00,100.00
All MS Patients,50-59,PAWMH,45,20.55,21.03,18.60,5.88,23.05,0.00,100.00
All MS Patients,50-59,JCWMH,45,12.06,11.22,9.11,3.51,17.14,0.00,45.00
All MS Patients,60+,PEWMH,5,71.43,14.04,74.19,70.82,80.00,48.05,84.08
All MS Patients,60+,PAWMH,5,14.67,3.79,13.99,11.69,16.86,10.81,20.00
All MS Patients,60+,JCWMH,5,13.90,15.59,11.82,5.12,12.32,0.00,40.26
Female MS Patients,18-29,PEWMH,61,43.10,33.41,46.55,0.58,73.08,0.00,100.00
Female MS Patients,18-29,PAWMH,61,19.98,25.57,8.55,0.00,31.25,0.00,100.00
Female MS Patients,18-29,JCWMH,61,20.52,25.64,15.83,0.00,26.85,0.00,100.00
Female MS Patients,30-39,PEWMH,100,49.39,28.48,50.18,30.27,73.46,0.00,100.00
Female MS Patients,30-39,PAWMH,100,25.58,23.94,20.13,6.25,41.89,0.00,100.00
Female MS Patients,30-39,JCWMH,100,21.03,21.60,15.25,8.23,25.22,0.00,100.00
Female MS Patients,40-49,PEWMH,74,50.38,27.02,53.64,31.77,70.25,0.00,100.00
Female MS Patients,40-49,PAWMH,74,23.94,22.27,19.16,7.99,31.45,0.00,100.00
Female MS Patients,40-49,JCWMH,74,22.98,21.55,16.57,6.86,31.92,0.00,100.00
Female MS Patients,50-59,PEWMH,33,67.81,24.60,73.49,62.30,82.86,0.00,100.00
Female MS Patients,50-59,PAWMH,33,19.00,22.52,10.29,5.48,22.00,0.00,100.00
Female MS Patients,50-59,JCWMH,33,13.19,11.65,11.11,4.28,17.21,0.00,45.00
Female MS Patients,60+,PEWMH,4,71.58,16.20,77.09,67.65,81.02,48.05,84.08
Female MS Patients,60+,PAWMH,4,14.12,4.14,12.84,11.47,15.49,10.81,20.00
Female MS Patients,60+,JCWMH,4,14.30,17.97,8.47,3.84,18.93,0.00,40.26
Male MS Patients,18-29,PEWMH,29,48.90,27.36,54.59,30.59,73.68,0.00,87.74
Male MS Patients,18-29,PAWMH,29,26.80,27.76,16.01,6.58,39.67,0.00,100.00
Male MS Patients,18-29,JCWMH,29,24.29,24.39,17.53,7.75,31.35,0.00,100.00
Male MS Patients,30-39,PEWMH,37,57.19,26.28,57.80,46.05,77.97,0.00,100.00
Male MS Patients,30-39,PAWMH,37,19.16,14.86,21.60,5.26,30.61,0.00,48.68
Male MS Patients,30-39,JCWMH,37,18.24,17.18,14.89,5.13,26.87,0.00,75.86
Male MS Patients,40-49,PEWMH,29,66.12,24.78,68.42,52.04,84.00,0.00,100.00
Male MS Patients,40-49,PAWMH,29,19.09,15.56,18.18,9.34,27.96,0.00,70.00
Male MS Patients,40-49,JCWMH,29,14.79,15.19,11.30,0.37,25.51,0.00,44.05
Male MS Patients,50-59,PEWMH,12,66.22,16.29,67.35,61.62,72.93,35.71,100.00
Male MS Patients,50-59,PAWMH,12,24.83,16.32,20.56,18.99,29.51,0.00,64.29
Male MS Patients,50-59,JCWMH,12,8.95,9.72,6.13,2.85,12.95,0.00,34.78
Male MS Patients,60+,PEWMH,1,70.82,N/A,70.82,70.82,70.82,70.82,70.82
Male MS Patients,60+,PAWMH,1,16.86,N/A,16.86,16.86,16.86,16.86,16.86
Male MS Patients,60+,JCWMH,1,12.32,N/A,12.32,12.32,12.32,12.32,12.32
